,idDB,Nom,Equip,Funcio,Dorsal
374,181441,Moses Simon,Levante,Delantero,7
375,109702,Roger Martí,Levante,Delantero,9
376,192050,Raphael Dwamena,Levante,Delantero,20
377,163784,Jason,Levante,Delantero,23
378,,Paco Jémez,Rayo,Entrenador,0
379,48415,Alberto García,Rayo,Portero,1
380,94878,Stole Dimitrievski,Rayo,Portero,13
381,462680,Miguel Ángel Morro,Rayo,Portero,30
382,73684,Tito,Rayo,Defensa,2
383,,Alejandro Catena,Rayo,Defensa,5
384,80789,Jordi Amat,Rayo,Defensa,16
385,98901,Luis Advíncula,Rayo,Defensa,17
386,151885,Emiliano Velázquez,Rayo,Defensa,20
387,103860,Abdoulaye Ba,Rayo,Defensa,21
388,90573,Alejandro Gálvez,Rayo,Defensa,23
389,220871,Sergio Akieme,Rayo,Defensa,28
390,,Martín Pascual,Rayo,Defensa,31
391,,Luis Meseguer,Rayo,Defensa,33
392,200961,Uche Agbo,Rayo,Centrocampista,3
393,165796,Álvaro Medrán,Rayo,Centrocampista,4
394,28644,Gorka Elustondo,Rayo,Centrocampista,6
395,106468,Álex Moreno,Rayo,Centrocampista,7
396,59325,Gaël Kakuta,Rayo,Centrocampista,10
397,102738,Giannelli Imbula,Rayo,Centrocampista,12
398,28160,Mario Suárez,Rayo,Centrocampista,15
399,165682,Álvaro García,Rayo,Centrocampista,18
400,114323,José Pozo,Rayo,Centrocampista,22
401,230071,Santiago Comesaña,Rayo,Centrocampista,27
402,,Manuel Navarro,Rayo,Centrocampista,34
403,,Ángel Algobia,Rayo,Centrocampista,35
404,40721,Óscar Trejo,Rayo,Delantero,8
405,119403,Raúl de Tomás,Rayo,Delantero,9
406,132161,Adrián Embarba,Rayo,Delantero,11
407,84374,Bebé,Rayo,Delantero,14
408,40389,Javi Guerra,Rayo,Delantero,24
409,49724,Franco Di Santo,Rayo,Delantero,25
410,462678,Sergio Moreno,Rayo,Delantero,29
411,,Zinedine Zidane,Real Madrid,Entrenador,0
412,28411,Keylor Navas,Real Madrid,Portero,1
413,60772,Thibaut Courtois,Real Madrid,Portero,25
414,199673,Luca Zidane,Real Madrid,Portero,30
415,88483,Daniel Carvajal,Real Madrid,Defensa,2
416,178876,Jesús Vallejo,Real Madrid,Defensa,3
417,17861,Sergio Ramos,Real Madrid,Defensa,4
418,90152,Raphael Varane,Real Madrid,Defensa,5
419,88477,Nacho,Real Madrid,Defensa,6
420,39563,Marcelo,Real Madrid,Defensa,12
421,201172,Álvaro Odriozola,Real Madrid,Defensa,19
422,199249,Sergio Reguilón,Real Madrid,Defensa,23
423,,Adrian De la Fuente,Real Madrid,Defensa,26
424,,Javi Sánchez,Real Madrid,Defensa,31
425,,Francisco Garcia,Real Madrid,Defensa,37
426,44989,Toni Kroos,Real Madrid,Centrocampista,8
427,37055,Luka Modric,Real Madrid,Centrocampista,10
428,61256,Casemiro,Real Madrid,Centrocampista,14
429,223255,Federico Valverde,Real Madrid,Centrocampista,15
430,107593,Lucas Vázquez,Real Madrid,Centrocampista,17
431,192364,Marcos Llorente,Real Madrid,Centrocampista,18
432,174292,Marco Asensio,Real Madrid,Centrocampista,20
433,,Brahim Díaz,Real Madrid,Centrocampista,21
434,80209,Isco,Real Madrid,Centrocampista,22
435,182539,Dani Ceballos,Real Madrid,Centrocampista,24
436,,Jaime Seoane,Real Madrid,Centrocampista,33
437,235639,Franchu,Real Madrid,Centrocampista,34
438,,Álvaro Fidalgo,Real Madrid,Centrocampista,36
439,,Jaume Grau,Real Madrid,Centrocampista,39
440,178347,Mariano,Real Madrid,Delantero,7
441,19927,Karim Benzema,Real Madrid,Delantero,9
442,36903,Gareth Bale,Real Madrid,Delantero,11
443,,Cristo González,Real Madrid,Delantero,27
444,246333,Vinícius Júnior,Real Madrid,Delantero,28
445,,Imanol Alguacil,Real Sociedad,Entrenador,0
446,106921,Gerónimo Rulli,Real Sociedad,Portero,1
447,16872,Miguel Ángel Moyá,Real Sociedad,Portero,13
448,446306,Andoni Zubiaurre,Real Sociedad,Portero,30
449,98821,Joseba Zaldua,Real Sociedad,Defensa,2
450,149915,Diego Llorente,Real Sociedad,Defensa,3
451,49656,Héctor Moreno,Real Sociedad,Defensa,6
452,200957,Aritz Elustondo,Real Sociedad,Defensa,15
453,235227,Andoni Gorosabel,Real Sociedad,Defensa,18
454,222784,Theo Hernández,Real Sociedad,Defensa,19
455,116626,Kévin Rodrigues,Real Sociedad,Defensa,20
456,61814,Raúl Navas,Real Sociedad,Defensa,22
457,,Robin Le Normand,Real Sociedad,Defensa,27
458,,Aihen Muñoz,Real Sociedad,Defensa,29
459,,Alex Sola,Real Sociedad,Defensa,35
460,84086,Asier Illarramendi,Real Sociedad,Centrocampista,4
461,216475,Igor Zubeldia,Real Sociedad,Centrocampista,5
462,195384,Mikel Merino,Real Sociedad,Centrocampista,8
463,154976,Adnan Januzaj,Real Sociedad,Centrocampista,11
464,90328,Rubén Pardo,Real Sociedad,Centrocampista,14
465,54371,David Zurutuza,Real Sociedad,Centrocampista,17
466,201179,Luca Sangalli,Real Sociedad,Centrocampista,23
467,431644,Ander Guevara,Real Sociedad,Centrocampista,26
468,466464,Näis Djouahra,Real Sociedad,Centrocampista,31
469,,Martín Zubimendi,Real Sociedad,Centrocampista,36
470,80287,Juanmi,Real Sociedad,Delantero,7
471,219000,Mikel Oyarzabal,Real Sociedad,Delantero,10
472,73314,Willian José,Real Sociedad,Delantero,12
473,201177,Martín Merquelanz,Real Sociedad,Delantero,16
474,201182,Jon Bautista,Real Sociedad,Delantero,21
475,108438,Sandro Ramírez,Real Sociedad,Delantero,24
476,,Roberto López,Real Sociedad,Delantero,28
477,,Ander Barrenetxea,Real Sociedad,Delantero,34
478,,Joaquín Caparrós,Sevilla FC,Entrenador,0
479,51945,Tomás Vaclik,Sevilla FC,Portero,1
480,178874,Juan Soriano,Sevilla FC,Portero,13
481,,Javier Díaz,Sevilla FC,Portero,34
482,,Lucho,Sevilla FC,Portero,38
483,86151,Sergi Gómez,Sevilla FC,Defensa,3
484,48714,Simon Kjaer,Sevilla FC,Defensa,4
485,46479,Daniel Carriço,Sevilla FC,Defensa,6
486,79627,Aleix Vidal,Sevilla FC,Defensa,11
487,,Maximilian Wöber,Sevilla FC,Defensa,14
488,62991,Sergio Escudero,Sevilla FC,Defensa,18
489,193922,Guilherme Arana,Sevilla FC,Defensa,23
490,218705,Joris Gnagnon,Sevilla FC,Defensa,24
491,55826,Gabriel Mercado,Sevilla FC,Defensa,25
492,,Juan Berrocal,Sevilla FC,Defensa,37
493,,Javier Vázquez,Sevilla FC,Defensa,40
494,128348,Ibrahim Amadou,Sevilla FC,Centrocampista,5
495,106899,Roque Mesa,Sevilla FC,Centrocampista,7
496,49309,Éver Banega,Sevilla FC,Centrocampista,10
497,59963,Maxime Gonalons,Sevilla FC,Centrocampista,15
498,17740,Jesús Navas,Sevilla FC,Centrocampista,16
499,88484,Pablo Sarabia,Sevilla FC,Centrocampista,17
500,195303,Marko Rog,Sevilla FC,Centrocampista,20
501,100731,Franco Vázquez,Sevilla FC,Centrocampista,22
502,,José Mena,Sevilla FC,Centrocampista,29
503,86173,Nolito,Sevilla FC,Delantero,8
504,83912,Wissam Ben Yedder,Sevilla FC,Delantero,9
505,165811,André Silva,Sevilla FC,Delantero,12
506,170864,Munir El Haddadi,Sevilla FC,Delantero,19
507,80758,Quincy Promes,Sevilla FC,Delantero,21
508,,Bryan Gil,Sevilla FC,Delantero,41
509,,Marcelino García Toral,Valencia,Entrenador,0
510,116732,Jaume Doménech,Valencia,Portero,1
511,69752,Neto,Valencia,Portero,13
512,,Cristian Rivero,Valencia,Portero,28
513,54794,Facundo Roncaglia,Valencia,Defensa,4
514,158074,Gabriel,Valencia,Defensa,5
515,208135,Mouctar Diakhaby,Valencia,Defensa,12
516,132105,José Gayá,Valencia,Defensa,14
517,221306,Toni Lato,Valencia,Defensa,15
518,92055,Cristiano Piccini,Valencia,Defensa,21
519,28525,Ezequiel Garay,Valencia,Defensa,24
520,,Álex Centelles,Valencia,Defensa,32
521,,Hugo Guillamón,Valencia,Defensa,36
522,88754,Geoffrey Kondogbia,Valencia,Centrocampista,6
523,181284,Gonçalo Guedes,Valencia,Centrocampista,7
524,224860,Carlos Soler,Valencia,Centrocampista,8
525,51952,Daniel Parejo,Valencia,Centrocampista,10
526,88489,Denis Cheryshev,Valencia,Centrocampista,11
527,,Lee Kang-In,Valencia,Centrocampista,16
528,56864,Francis Coquelin,Valencia,Centrocampista,17
529,56624,Daniel Wass,Valencia,Centrocampista,18
530,224444,Ferrán Torres,Valencia,Centrocampista,20
